ENT,SEXO,EDAD,P3_6,P3_7,P3_8,P3_11,P3_12_1,P3_12_2,P3_12_3,P3_12_4,P3_12_5,P3_12_6,P3_12_7,P3_12_8,P3_13,P3_14,P3_15,P3_16,P3_17_1,P3_17_2,P3_17_3,P3_17_4,P3_17_5,P3_17_6,P3_17_7,P3_17_8,P3_18,P3_20,P3_23,P3_24,P3_25_1,P3_25_2,P3_25_3,P3_25_4,P3_25_5,P3_26,FACTOR,P3_13_w,P3_7_w,P3_8_w,P3_11_w,P3_12_1_w,P3_12_2_w,P3_12_3_w,P3_12_4_w,P3_12_5_w,P3_12_6_w,P3_12_7_w,P3_12_8_w,P3_14_w,P3_16_w,P3_17_1_w,P3_17_2_w,P3_17_3_w,P3_17_4_w,P3_17_5_w,P3_17_6_w,P3_17_7_w,P3_17_8_w,P3_20_w,P3_23_w,Region,gender_string,P3_6_string,P3_15_string
1,1,21,1.0,1.0,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,,,,,,,,,,1.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,3,1235,0.0,1235.0,,1235.0,0.0,1235.0,0.0,1235.0,0.0,0.0,0.0,0.0,1235,,,,,,,,,,1235.0,1235.0,Northcenter,male,public,public
1,2,15,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,,,,,,,,,,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1,818,0.0,818.0,,818.0,818.0,818.0,818.0,818.0,0.0,0.0,0.0,0.0,818,,,,,,,,,,818.0,818.0,Northcenter,female,public,public
1,2,20,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1.0,,,,,,,,,,,1.0,0.0,,0.0,1.0,0.0,0.0,0.0,1,818,818.0,818.0,,818.0,818.0,818.0,818.0,818.0,0.0,0.0,0.0,0.0,818,,,,,,,,,,818.0,0.0,Northcenter,female,public,public
1,1,21,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,,,,,,,,,,1.0,0.0,,0.0,1.0,0.0,0.0,0.0,1,818,0.0,818.0,,818.0,818.0,818.0,818.0,818.0,0.0,0.0,0.0,0.0,818,,,,,,,,,,818.0,0.0,Northcenter,male,public,public
1,2,6,1.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,1,1.0,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2,1104,,1104.0,,1104.0,0.0,0.0,0.0,0.0,0.0,1104.0,0.0,0.0,1104,,,,,,,,,,1104.0,1104.0,Northcenter,female,public,public
1,1,22,,,,,,,,,,,,,,0,,0.0,,,,,,,,,7.0,,,,,,,,,5,1104,,,,,,,,,,,,,0,0.0,,,,,,,,,,,Northcenter,male,public,public
1,2,23,,,,,,,,,,,,,,0,,0.0,,,,,,,,,7.0,,,,,,,,,5,1104,,,,,,,,,,,,,0,0.0,,,,,,,,,,,Northcenter,female,public,public
1,1,22,,,,,,,,,,,,,,0,,0.0,,,,,,,,,7.0,,,,,,,,,5,990,,,,,,,,,,,,,0,0.0,,,,,,,,,,,Northcenter,male,public,public
1,2,23,,,,,,,,,,,,,,0,,0.0,,,,,,,,,8.0,,,,,,,,,5,990,,,,,,,,,,,,,0,0.0,,,,,,,,,,,Northcenter,female,public,public
1,1,29,,,,,,,,,,,,,,0,,0.0,,,,,,,,,7.0,,,,,,,,,5,1450,,,,,,,,,,,,,0,0.0,,,,,,,,,,,Northcenter,male,public,public
1,1,9,1.0,1.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1,1.0,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,1453,5812.0,1453.0,,1453.0,0.0,0.0,0.0,1453.0,0.0,0.0,0.0,0.0,1453,,,,,,,,,,1453.0,1453.0,Northcenter,male,public,public
1,2,15,1.0,1.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,,,,,,,,,4.0,,,,,,,,,5,372,0.0,372.0,,372.0,0.0,0.0,0.0,372.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,Northcenter,female,public,public
1,2,17,,,,,,,,,,,,,,0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1,372,,,,,,,,,,,,,0,372.0,0.0,372.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Northcenter,female,public,public
1,1,18,1.0,1.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,,,,,,,,,,1.0,0.0,,0.0,1.0,0.0,0.0,0.0,1,1412,0.0,1412.0,,1412.0,0.0,0.0,0.0,1412.0,0.0,0.0,0.0,0.0,1412,,,,,,,,,,1412.0,0.0,Northcenter,male,public,public
1,1,24,,,,,,,,,,,,,,0,,0.0,,,,,,,,,7.0,,,,,,,,,1,1412,,,,,,,,,,,,,0,0.0,,,,,,,,,,,Northcenter,male,public,public
1,1,25,,,,,,,,,,,,,,0,,0.0,,,,,,,,,8.0,,,,,,,,,5,1493,,,,,,,,,,,,,0,0.0,,,,,,,,,,,Northcenter,male,public,public
1,2,7,1.0,1.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1.0,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,677,677.0,677.0,,677.0,0.0,0.0,0.0,677.0,0.0,0.0,0.0,0.0,677,,,,,,,,,,677.0,677.0,Northcenter,female,public,public
1,2,14,1.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1,677,677.0,677.0,,0.0,0.0,0.0,0.0,677.0,0.0,0.0,0.0,0.0,0,677.0,0.0,677.0,0.0,0.0,0.0,0.0,0.0,0.0,,,Northcenter,female,public,public
1,1,23,,,,,,,,,,,,,,0,,0.0,,,,,,,,,4.0,,,,,,,,,5,677,,,,,,,,,,,,,0,0.0,,,,,,,,,,,Northcenter,male,public,public
1,2,9,1.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1.0,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,1374,1374.0,1374.0,,0.0,0.0,0.0,0.0,1374.0,0.0,0.0,0.0,0.0,1374,,,,,,,,,,1374.0,1374.0,Northcenter,female,public,public
1,2,14,1.0,1.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1.0,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,1374,1374.0,1374.0,,1374.0,0.0,0.0,0.0,1374.0,0.0,0.0,0.0,0.0,1374,,,,,,,,,,1374.0,1374.0,Northcenter,female,public,public
1,2,26,1.0,1.0,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,,0.0,,,,,,,,,3.0,,,,,,,,,5,1018,0.0,1018.0,,1018.0,1018.0,0.0,0.0,1018.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,,,Northcenter,female,public,public
1,1,28,,,,,,,,,,,,,,0,,0.0,,,,,,,,,3.0,,,,,,,,,5,1018,,,,,,,,,,,,,0,0.0,,,,,,,,,,,Northcenter,male,public,public
1,2,14,1.0,1.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,889,0.0,889.0,,889.0,0.0,0.0,0.0,889.0,0.0,0.0,0.0,0.0,889,,,,,,,,,,889.0,889.0,Northcenter,female,public,public
1,2,11,1.0,1.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1.0,,,,,,,,,,,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,3,889,889.0,889.0,,889.0,0.0,0.0,0.0,889.0,0.0,0.0,0.0,0.0,889,,,,,,,,,,0.0,889.0,Northcenter,female,public,public
1,2,15,,,,,,,,,,,,,,0,,0.0,,,,,,,,,11.0,,,,,,,,,5,889,,,,,,,,,,,,,0,0.0,,,,,,,,,,,Northcenter,female,public,public
1,1,15,,,,,,,,,,,,,,0,,0.0,,,,,,,,,4.0,,,,,,,,,5,889,,,,,,,,,,,,,0,0.0,,,,,,,,,,,Northcenter,male,public,public
1,2,16,,,,,,,,,,,,,,0,,0.0,,,,,,,,,5.0,,,,,,,,,5,889,,,,,,,,,,,,,0,0.0,,,,,,,,,,,Northcenter,female,public,public
