ENT,SEXO,EDAD,P3_6,P3_7,P3_8,P3_11,P3_12_1,P3_12_2,P3_12_3,P3_12_4,P3_12_5,P3_12_6,P3_12_7,P3_12_8,P3_13,P3_14,P3_15,P3_16,P3_17_1,P3_17_2,P3_17_3,P3_17_4,P3_17_5,P3_17_6,P3_17_7,P3_17_8,P3_18,P3_20,P3_23,P3_24,P3_25_1,P3_25_2,P3_25_3,P3_25_4,P3_25_5,P3_26,FACTOR,P3_13_w,P3_7_w,P3_8_w,P3_11_w,P3_12_1_w,P3_12_2_w,P3_12_3_w,P3_12_4_w,P3_12_5_w,P3_12_6_w,P3_12_7_w,P3_12_8_w,P3_14_w,P3_16_w,P3_17_1_w,P3_17_2_w,P3_17_3_w,P3_17_4_w,P3_17_5_w,P3_17_6_w,P3_17_7_w,P3_17_8_w,P3_20_w,P3_23_w,Region,gender_string,P3_6_string,P3_15_string
1,1,15,1.0,1.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1.0,,,,,,,,,,,1.0,0.0,,0.0,1.0,0.0,0.0,0.0,1,799,799.0,799.0,,799.0,0.0,0.0,0.0,799.0,0.0,0.0,0.0,0.0,799,,,,,,,,,,799.0,0.0,Northcenter,male,public,public
1,1,15,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,1.0,,,,,,,,,,,1.0,0.0,,0.0,1.0,0.0,0.0,0.0,1,993,993.0,993.0,,0.0,0.0,0.0,0.0,0.0,993.0,0.0,0.0,0.0,993,,,,,,,,,,993.0,0.0,Northcenter,male,public,public
1,1,22,,,,,,,,,,,,,,0,,0.0,,,,,,,,,7.0,,,,,,,,,5,993,,,,,,,,,,,,,0,0.0,,,,,,,,,,,Northcenter,male,public,public
1,2,22,,,,,,,,,,,,,,0,,0.0,,,,,,,,,8.0,,,,,,,,,5,993,,,,,,,,,,,,,0,0.0,,,,,,,,,,,Northcenter,female,public,public
1,1,5,1.0,1.0,,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1,1.0,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,1063,1063.0,1063.0,,1063.0,0.0,1063.0,0.0,1063.0,1063.0,0.0,0.0,0.0,1063,,,,,,,,,,1063.0,1063.0,Northcenter,male,public,public
1,2,20,2.0,1.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,,,,,,,,,,,1.0,0.0,,0.0,1.0,0.0,0.0,0.0,1,1063,0.0,1063.0,,1063.0,0.0,1063.0,0.0,0.0,0.0,0.0,0.0,0.0,1063,,,,,,,,,,1063.0,0.0,Northcenter,female,private,private
1,2,25,,,,,,,,,,,,,,0,,0.0,,,,,,,,,8.0,,,,,,,,,5,1063,,,,,,,,,,,,,0,0.0,,,,,,,,,,,Northcenter,female,public,public
1,2,26,1.0,1.0,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,,,,,,,,,,1.0,0.0,,0.0,1.0,1.0,0.0,0.0,1,1122,0.0,1122.0,,1122.0,0.0,1122.0,0.0,1122.0,0.0,0.0,0.0,0.0,1122,,,,,,,,,,1122.0,0.0,Northcenter,female,public,public
1,2,29,,,,,,,,,,,,,,0,,0.0,,,,,,,,,6.0,,,,,,,,,1,1122,,,,,,,,,,,,,0,0.0,,,,,,,,,,,Northcenter,female,public,public
1,2,28,,,,,,,,,,,,,,0,,0.0,,,,,,,,,7.0,,,,,,,,,5,1356,,,,,,,,,,,,,0,0.0,,,,,,,,,,,Northcenter,female,public,public
1,2,21,,,,,,,,,,,,,,0,,0.0,,,,,,,,,11.0,,,,,,,,,5,2317,,,,,,,,,,,,,0,0.0,,,,,,,,,,,Northcenter,female,public,public
1,2,6,1.0,1.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,1,1.0,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2,1137,,1137.0,,1137.0,0.0,0.0,0.0,0.0,0.0,0.0,1137.0,0.0,1137,,,,,,,,,,1137.0,1137.0,Northcenter,female,public,public
1,2,17,1.0,1.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1.0,,,,,,,,,,,1.0,0.0,,0.0,0.0,1.0,0.0,0.0,3,1137,1137.0,1137.0,,1137.0,0.0,0.0,0.0,1137.0,0.0,0.0,0.0,0.0,1137,,,,,,,,,,1137.0,0.0,Northcenter,female,public,public
1,2,19,1.0,1.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,2.0,,,,,,,,,,,1.0,0.0,,0.0,0.0,1.0,0.0,0.0,1,1137,1137.0,1137.0,,1137.0,0.0,0.0,0.0,1137.0,0.0,0.0,0.0,0.0,1137,,,,,,,,,,1137.0,0.0,Northcenter,female,public,private
1,1,4,,,,,,,,,,,,,,1,1.0,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1,1628,,,,,,,,,,,,,1628,,,,,,,,,,1628.0,1628.0,Northcenter,male,public,public
1,2,23,,,,,,,,,,,,,,1,2.0,,,,,,,,,,,1.0,0.0,,0.0,1.0,0.0,0.0,0.0,1,1628,,,,,,,,,,,,,1628,,,,,,,,,,1628.0,0.0,Northcenter,female,public,private
1,2,10,2.0,1.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,2.0,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1711,1711.0,1711.0,,1711.0,0.0,0.0,0.0,1711.0,0.0,0.0,0.0,0.0,1711,,,,,,,,,,1711.0,1711.0,Northcenter,female,private,private
1,1,11,1.0,1.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1.0,,,,,,,,,,,1.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,1,1063,1063.0,1063.0,,1063.0,0.0,0.0,0.0,1063.0,0.0,0.0,0.0,0.0,1063,,,,,,,,,,1063.0,1063.0,Northcenter,male,public,public
1,1,16,1.0,1.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,,,,,,,,,,1.0,0.0,,0.0,1.0,1.0,0.0,0.0,1,1063,0.0,1063.0,,1063.0,0.0,0.0,0.0,1063.0,0.0,0.0,0.0,0.0,1063,,,,,,,,,,1063.0,0.0,Northcenter,male,public,public
1,1,20,1.0,1.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,,,,,,,,,,1.0,0.0,,0.0,1.0,1.0,0.0,0.0,2,1063,0.0,1063.0,,1063.0,0.0,1063.0,0.0,0.0,0.0,0.0,0.0,0.0,1063,,,,,,,,,,1063.0,0.0,Northcenter,male,public,public
